Player_X,Player_Y,Opponent_X,Opponent_Y,Score_Situation,Shuttle_Difficulty,Recommended_Shot
8.9,11.42,8.41,5.08,Early,Medium,Clear
3.22,12.7,7.76,7.06,Pressure,Hard,Clear
6.47,12.14,1.71,1.93,Early,Medium,Clear
3.04,3.11,3.59,9.02,Mid,Medium,Drop
2.76,11.76,0.96,8.37,Mid,Easy,Smash
1.68,12.65,1.95,5.98,Pressure,Medium,Clear
0.59,1.43,8.45,11.71,Pressure,Easy,Drop
3.82,7.35,4.37,1.02,Mid,Hard,Drop
8.25,11.65,2.39,3.59,Early,Medium,Clear
8.37,12.58,7.25,11.98,Early,Hard,Drop
7.8,11.43,0.72,9.63,Mid,Hard,Clear
6.53,9.61,2.73,2.47,Pressure,Easy,Smash
8.35,11.15,2.5,10.63,Mid,Easy,Smash
7.88,11.3,2.51,8.68,Mid,Easy,Clear
9.2,3.96,6.27,5.46,Pressure,Easy,Drop
0.75,11.38,2.85,7.7,Mid,Easy,Smash
3.61,10.25,4.43,12.7,Early,Medium,Clear
2.79,9.29,0.52,11.98,Pressure,Medium,Clear
8.96,9.64,2.27,5.85,Pressure,Hard,Clear
6.47,2.05,8.6,6.79,Pressure,Medium,Drop
4.12,4.17,1.65,5.71,Mid,Medium,Drop
8.63,8.13,3.21,7.29,Early,Easy,Smash
7.57,8.02,3.4,5.98,Pressure,Easy,Smash
4.76,11.67,7.66,2.6,Early,Easy,Drop
6.47,8.18,1.34,12.3,Early,Medium,Smash
2.29,0.8,2.7,6.39,Early,Medium,Drop
8.48,7.64,6.97,5.26,Mid,Easy,Drop
0.55,9.81,7.43,1.82,Mid,Easy,Drop
7.74,9.13,4.68,7.41,Early,Medium,Smash
6.51,12.75,5.86,12.28,Mid,Medium,Smash
5.04,10.8,5.43,11.63,Pressure,Hard,Clear
7.27,10.91,3.0,10.14,Mid,Medium,Clear
1.2,4.04,2.95,4.46,Pressure,Easy,Drop
1.86,5.25,1.88,3.15,Mid,Medium,Drop
5.38,5.66,2.36,5.71,Pressure,Hard,Clear
8.43,7.64,4.79,12.19,Mid,Hard,Drop
9.08,5.7,7.23,7.27,Pressure,Hard,Clear
2.96,6.52,4.0,8.79,Mid,Medium,Clear
8.78,12.66,5.31,11.75,Pressure,Medium,Clear
0.74,8.47,1.72,6.23,Early,Easy,Drop
4.59,4.69,8.42,3.95,Mid,Easy,Drop
1.24,0.74,5.35,12.9,Mid,Easy,Drop
1.12,12.37,0.86,0.88,Early,Easy,Drop
0.68,2.39,1.64,8.8,Pressure,Hard,Clear
2.81,5.07,5.95,12.45,Pressure,Easy,Smash
7.87,12.46,1.47,0.82,Mid,Medium,Smash
3.88,12.17,2.28,7.84,Pressure,Easy,Smash
3.21,8.98,7.75,10.37,Pressure,Hard,Clear
4.36,5.1,5.05,4.73,Mid,Hard,Clear
9.15,8.38,7.96,9.27,Mid,Easy,Drop
6.35,8.14,8.78,10.11,Mid,Medium,Clear
2.92,11.06,7.98,1.57,Mid,Easy,Drop
4.68,8.07,3.91,0.86,Mid,Easy,Drop
2.41,10.39,3.56,11.42,Pressure,Hard,Clear
5.15,2.87,2.67,5.54,Pressure,Hard,Clear
6.31,6.59,7.64,1.65,Early,Medium,Drop
2.69,8.73,3.82,7.36,Mid,Medium,Clear
3.48,9.22,2.94,3.62,Early,Medium,Clear
7.19,12.29,6.71,2.88,Pressure,Medium,Clear
7.02,12.61,5.22,4.01,Early,Hard,Clear
3.75,4.25,6.87,2.07,Early,Hard,Clear
6.78,2.07,8.32,6.59,Early,Medium,Drop
4.72,5.96,2.16,1.14,Mid,Easy,Drop
1.09,6.6,5.69,9.01,Early,Easy,Drop
3.23,12.82,1.57,9.98,Pressure,Medium,Clear
6.07,10.12,3.92,11.77,Mid,Hard,Drop
3.25,8.2,5.99,9.68,Early,Medium,Smash
1.23,3.47,5.47,2.44,Mid,Medium,Drop
5.84,4.11,2.58,9.27,Pressure,Hard,Clear
2.6,3.78,7.62,7.81,Early,Medium,Drop
5.4,8.53,8.68,10.75,Early,Easy,Clear
5.86,10.72,8.79,5.95,Mid,Medium,Smash
8.98,6.71,4.94,1.5,Early,Hard,Clear
5.93,0.82,2.56,8.86,Pressure,Medium,Drop
0.69,9.98,7.89,7.65,Early,Medium,Smash
8.74,2.75,5.77,8.37,Mid,Hard,Clear
4.18,4.48,1.44,2.49,Mid,Medium,Drop
3.09,12.22,7.82,7.32,Mid,Easy,Smash
1.54,10.08,8.28,10.73,Early,Medium,Clear
4.22,2.83,3.76,9.88,Pressure,Medium,Drop
0.96,3.81,1.68,4.07,Pressure,Medium,Drop
0.76,8.31,7.69,9.3,Mid,Medium,Drop
1.34,12.8,8.72,6.22,Early,Medium,Clear
8.89,4.12,6.85,5.65,Mid,Hard,Clear
5.46,5.26,8.8,6.8,Early,Hard,Clear
7.61,5.65,8.91,6.8,Early,Easy,Smash
5.78,12.89,4.91,2.34,Pressure,Medium,Clear
3.49,9.96,3.89,12.07,Early,Hard,Clear
3.95,11.11,4.2,4.45,Mid,Medium,Smash
3.97,8.73,7.89,12.66,Mid,Hard,Clear
9.19,4.62,1.4,10.98,Early,Medium,Drop
7.0,5.58,6.39,2.41,Mid,Hard,Clear
6.11,5.43,1.22,4.57,Pressure,Hard,Clear
3.35,9.41,7.33,11.32,Early,Medium,Clear
6.66,4.06,2.55,1.62,Early,Hard,Clear
1.4,2.56,3.2,0.86,Mid,Hard,Clear
3.87,2.31,5.28,7.52,Early,Easy,Drop
1.21,11.3,6.08,3.49,Pressure,Easy,Smash
4.65,3.65,2.8,0.62,Mid,Hard,Clear
1.92,5.98,3.61,7.79,Pressure,Hard,Clear
4.61,4.25,9.49,11.08,Early,Easy,Drop
5.65,7.63,9.43,4.16,Pressure,Medium,Clear
0.57,11.23,7.5,12.57,Pressure,Medium,Clear
8.0,11.7,7.48,3.35,Mid,Easy,Drop
2.21,3.61,7.3,10.02,Pressure,Hard,Clear
8.63,8.51,3.28,5.97,Pressure,Medium,Clear
1.68,11.78,3.44,5.65,Early,Easy,Smash
9.24,7.08,8.72,10.8,Mid,Hard,Drop
9.21,4.16,8.33,10.47,Mid,Hard,Clear
9.2,11.17,7.02,12.65,Pressure,Medium,Clear
7.62,0.67,5.33,6.14,Pressure,Medium,Drop
2.86,5.22,6.25,5.11,Pressure,Easy,Smash
0.73,11.46,5.55,11.85,Early,Medium,Smash
4.68,9.19,6.34,1.95,Early,Hard,Clear
4.93,1.71,8.49,2.18,Mid,Medium,Drop
9.04,9.14,5.36,7.78,Pressure,Easy,Smash
1.39,6.57,4.17,12.3,Early,Medium,Smash
4.5,3.43,3.76,12.66,Mid,Medium,Drop
9.3,4.95,4.08,2.85,Early,Hard,Drop
1.33,3.13,6.26,12.54,Early,Hard,Clear
1.63,7.5,1.12,9.99,Early,Medium,Clear
2.6,10.1,7.6,7.89,Mid,Hard,Clear
1.67,3.61,2.07,8.7,Early,Easy,Drop
3.72,10.28,5.8,0.7,Mid,Easy,Drop
7.18,7.02,7.21,6.41,Mid,Medium,Smash
5.03,12.22,0.89,10.21,Pressure,Medium,Clear
4.62,12.45,1.05,6.44,Mid,Medium,Clear
6.91,6.0,8.59,4.49,Early,Easy,Drop
2.98,8.35,5.44,4.53,Pressure,Medium,Clear
4.58,8.01,1.39,9.2,Pressure,Medium,Clear
7.42,9.44,2.44,6.1,Early,Medium,Smash
4.09,9.55,3.31,4.38,Mid,Medium,Clear
8.81,1.33,7.99,1.66,Early,Medium,Drop
3.85,2.11,1.04,12.36,Pressure,Easy,Drop
1.6,4.88,6.49,9.8,Pressure,Easy,Smash
3.09,4.37,1.43,6.79,Early,Medium,Drop
2.52,1.84,8.11,5.06,Mid,Medium,Drop
7.76,10.98,9.27,10.65,Pressure,Medium,Clear
5.51,8.05,6.42,9.1,Early,Easy,Clear
3.28,4.71,0.55,11.29,Pressure,Medium,Clear
1.13,9.69,9.25,1.64,Pressure,Easy,Smash
4.28,4.73,3.83,9.45,Pressure,Medium,Clear
8.45,2.43,7.29,1.12,Early,Easy,Drop
6.46,6.52,4.48,3.89,Pressure,Easy,Drop
4.37,4.01,6.61,6.53,Pressure,Easy,Drop
2.48,12.71,0.99,3.03,Early,Hard,Drop
3.11,1.99,4.98,5.84,Early,Medium,Drop
6.83,6.7,8.0,10.5,Early,Medium,Clear
4.43,6.2,1.2,4.38,Mid,Medium,Drop
6.89,5.68,1.54,0.76,Mid,Easy,Drop
9.03,6.21,6.71,4.99,Mid,Hard,Clear
5.8,7.0,4.06,4.35,Mid,Easy,Drop
7.51,1.45,6.2,7.08,Early,Hard,Clear
7.05,10.65,7.84,3.43,Early,Easy,Drop
2.06,2.4,7.33,1.43,Pressure,Medium,Drop
7.29,9.92,4.54,11.96,Pressure,Medium,Clear
9.38,4.51,9.24,4.42,Mid,Easy,Drop
4.48,4.25,2.97,1.2,Pressure,Easy,Drop
4.66,0.97,3.82,4.06,Pressure,Hard,Drop
6.04,6.79,4.66,7.37,Pressure,Hard,Clear
7.79,8.58,3.39,6.4,Early,Hard,Clear
7.8,10.88,9.34,1.55,Pressure,Easy,Smash
2.73,5.93,4.45,6.98,Early,Medium,Clear
3.99,10.1,6.61,1.15,Pressure,Medium,Clear
1.09,1.67,6.61,4.02,Pressure,Hard,Drop
5.92,2.36,1.23,8.73,Mid,Easy,Drop
6.4,8.71,1.66,9.29,Early,Easy,Drop
7.62,10.58,6.53,10.78,Pressure,Hard,Drop
1.34,8.81,5.08,0.73,Mid,Easy,Drop
2.43,12.25,4.88,3.31,Early,Easy,Drop
3.16,10.27,5.07,7.19,Pressure,Hard,Clear
3.53,10.0,1.68,5.17,Early,Easy,Smash
6.12,11.69,6.99,1.04,Mid,Medium,Clear
4.5,4.03,7.24,6.07,Pressure,Easy,Drop
9.19,10.23,8.64,2.91,Pressure,Hard,Drop
4.66,3.99,3.94,7.04,Early,Hard,Drop
1.75,3.6,6.27,11.34,Pressure,Hard,Clear
5.14,2.05,1.25,2.49,Mid,Hard,Clear
4.44,12.24,2.5,6.09,Mid,Hard,Clear
4.07,5.14,3.98,1.51,Early,Easy,Drop
8.88,10.91,6.35,10.31,Early,Easy,Smash
8.76,6.36,7.98,9.91,Mid,Medium,Smash
1.21,3.67,8.01,7.31,Pressure,Medium,Drop
4.31,10.12,2.64,2.01,Early,Medium,Smash
4.61,1.87,8.65,7.9,Early,Medium,Drop
5.68,9.41,3.12,0.52,Mid,Easy,Drop
4.25,8.74,1.27,12.59,Early,Hard,Clear
7.58,6.79,0.68,11.33,Early,Medium,Clear
2.78,0.7,7.6,4.78,Pressure,Medium,Drop
1.43,7.72,7.31,2.15,Mid,Medium,Drop
7.82,2.67,7.51,6.26,Pressure,Medium,Drop
2.14,2.17,6.94,12.2,Early,Easy,Drop
0.89,2.97,0.88,12.07,Pressure,Medium,Drop
7.84,6.37,0.83,8.52,Mid,Medium,Clear
8.29,4.62,1.62,5.06,Mid,Medium,Clear
3.98,12.57,4.97,6.67,Pressure,Easy,Smash
4.32,5.84,9.46,2.74,Mid,Easy,Drop
1.22,8.7,3.26,7.97,Mid,Easy,Drop
4.52,9.51,8.7,8.12,Mid,Easy,Clear
9.03,1.43,6.24,5.01,Pressure,Medium,Drop
9.08,2.27,5.97,10.19,Early,Easy,Drop
2.62,8.5,3.76,12.27,Early,Medium,Drop
9.04,5.11,7.37,7.62,Pressure,Medium,Clear
3.33,3.96,9.14,0.82,Early,Medium,Drop
3.98,7.46,2.86,3.73,Mid,Easy,Drop
6.01,9.11,9.49,2.98,Early,Hard,Clear
8.59,6.02,1.29,8.96,Mid,Medium,Clear
5.45,4.1,3.2,2.45,Pressure,Hard,Clear
7.64,6.81,1.59,2.99,Early,Easy,Drop
4.95,4.98,5.65,6.3,Pressure,Easy,Smash
8.46,1.32,4.08,9.39,Mid,Medium,Drop
7.42,10.71,1.16,12.56,Pressure,Easy,Smash
4.69,6.92,1.66,10.78,Pressure,Medium,Clear
2.14,12.48,4.39,11.79,Early,Hard,Clear
3.24,2.51,8.91,3.3,Pressure,Hard,Drop
2.76,8.37,5.46,2.05,Mid,Medium,Drop
1.34,8.45,5.83,7.7,Early,Medium,Clear
5.95,10.95,5.57,10.73,Early,Easy,Smash
9.04,10.06,2.88,3.11,Pressure,Medium,Clear
6.25,6.68,6.14,4.09,Mid,Medium,Drop
7.74,8.99,3.18,1.4,Early,Easy,Drop
4.24,6.26,3.56,2.28,Pressure,Easy,Drop
9.39,4.78,4.09,9.93,Pressure,Medium,Clear
3.37,6.28,2.91,3.57,Early,Easy,Drop
9.01,11.22,4.26,12.44,Early,Hard,Drop
6.99,2.85,1.93,12.85,Mid,Medium,Drop
3.28,0.79,9.01,6.77,Early,Easy,Drop
3.68,1.13,4.95,11.44,Pressure,Medium,Drop
3.07,0.6,1.47,2.16,Mid,Medium,Drop
7.37,5.04,4.11,7.57,Early,Medium,Smash
3.98,6.08,5.45,10.73,Pressure,Medium,Clear
1.57,12.59,4.05,10.36,Mid,Medium,Clear
1.8,7.97,4.11,1.0,Early,Easy,Drop
3.5,6.37,4.61,8.02,Pressure,Easy,Smash
8.88,4.45,4.04,8.14,Mid,Medium,Drop
5.07,6.82,4.91,7.48,Mid,Hard,Clear
6.56,12.65,5.75,10.38,Pressure,Hard,Clear
5.87,3.79,6.4,12.55,Pressure,Medium,Drop
6.99,7.74,2.03,8.3,Pressure,Hard,Clear
7.89,3.5,5.65,9.19,Early,Easy,Drop
3.32,2.38,6.71,5.59,Pressure,Hard,Drop
7.12,1.27,1.74,3.07,Mid,Hard,Clear
3.89,12.36,4.64,7.11,Pressure,Medium,Clear
7.45,9.44,6.29,9.1,Pressure,Medium,Clear
9.12,3.96,3.19,12.17,Mid,Hard,Clear
6.71,6.56,4.82,7.45,Pressure,Easy,Smash
1.6,8.89,3.92,12.65,Mid,Hard,Drop
3.11,4.07,6.93,4.79,Mid,Medium,Drop
7.23,3.15,7.95,3.86,Pressure,Medium,Drop
1.74,8.13,5.78,3.51,Pressure,Hard,Clear
2.6,1.74,3.47,6.36,Pressure,Hard,Clear
5.45,12.02,4.16,12.09,Mid,Medium,Clear
9.18,4.48,6.31,11.76,Early,Medium,Drop
2.59,9.66,8.15,0.96,Early,Medium,Smash
8.91,0.95,8.03,10.27,Early,Hard,Drop
8.83,11.37,0.58,7.54,Early,Hard,Clear
4.59,8.45,5.22,11.53,Early,Hard,Clear
2.24,1.9,1.96,6.19,Mid,Medium,Drop
0.63,4.68,3.16,8.86,Early,Easy,Clear
8.57,10.75,5.14,1.58,Pressure,Easy,Smash
9.34,6.42,8.92,0.58,Mid,Easy,Drop
7.28,12.33,3.22,9.46,Early,Easy,Smash
3.74,3.43,6.51,6.27,Early,Medium,Drop
5.02,11.6,6.83,4.36,Early,Medium,Smash
3.81,3.24,9.12,6.43,Mid,Medium,Drop
5.95,5.66,5.44,6.34,Pressure,Hard,Drop
7.36,8.94,5.86,10.26,Pressure,Medium,Clear
6.83,1.47,5.58,1.27,Pressure,Hard,Clear
5.33,2.54,8.19,5.98,Pressure,Easy,Drop
5.75,1.63,5.09,10.53,Mid,Easy,Drop
4.24,7.49,5.53,8.84,Mid,Medium,Drop
7.85,9.75,5.7,1.06,Mid,Medium,Clear
1.04,11.59,9.38,6.35,Mid,Medium,Smash
7.39,12.63,6.31,5.71,Mid,Medium,Smash
3.9,1.5,9.18,11.34,Early,Medium,Drop
3.63,2.71,5.34,7.06,Pressure,Hard,Drop
7.31,12.63,4.67,9.42,Mid,Medium,Smash
2.73,4.79,2.98,12.12,Pressure,Hard,Clear
6.44,8.13,8.93,11.52,Early,Easy,Smash
0.8,7.91,6.83,1.1,Pressure,Easy,Drop
4.45,7.19,7.29,10.12,Early,Medium,Smash
7.84,9.57,3.37,7.91,Pressure,Hard,Clear
8.39,12.72,5.19,5.63,Mid,Easy,Clear
8.42,11.8,6.13,5.8,Mid,Easy,Smash
6.29,5.23,5.22,9.13,Mid,Easy,Drop
7.29,6.37,8.14,4.23,Pressure,Easy,Drop
4.67,1.21,4.21,5.66,Pressure,Easy,Drop
2.69,3.02,6.32,11.94,Mid,Easy,Drop
7.02,2.86,2.92,8.85,Pressure,Easy,Drop
1.16,10.48,5.79,8.83,Early,Medium,Smash
3.5,12.37,0.64,12.12,Pressure,Easy,Smash
9.5,6.44,2.68,7.99,Early,Medium,Smash
3.39,4.01,4.7,8.54,Mid,Easy,Drop
5.12,6.67,1.39,12.67,Mid,Hard,Clear
2.33,4.38,0.91,11.21,Pressure,Easy,Drop
2.85,12.09,5.71,5.68,Early,Easy,Smash
5.63,3.55,5.46,12.2,Mid,Easy,Drop
7.89,12.48,6.28,6.58,Early,Medium,Clear
1.76,7.28,2.16,11.53,Pressure,Hard,Clear
8.05,1.42,7.86,1.1,Early,Medium,Drop
8.08,3.37,6.86,0.61,Pressure,Medium,Drop
1.04,8.41,8.91,11.82,Pressure,Medium,Clear
0.56,7.34,0.61,7.06,Mid,Medium,Smash
5.02,9.15,4.38,12.15,Early,Easy,Smash
1.37,2.35,2.23,7.03,Mid,Easy,Drop
4.07,5.13,4.15,7.51,Pressure,Easy,Smash
6.66,11.01,6.38,11.14,Early,Easy,Smash
3.91,7.35,1.01,0.62,Early,Easy,Drop
8.11,8.5,3.48,12.62,Early,Hard,Drop
2.57,11.68,6.73,7.53,Mid,Easy,Smash
8.83,11.65,5.57,0.91,Mid,Easy,Drop
2.36,2.29,7.89,10.68,Early,Easy,Drop
5.58,7.53,8.14,8.9,Pressure,Easy,Smash
7.3,2.24,9.4,9.48,Pressure,Medium,Drop
3.61,1.71,2.59,1.44,Pressure,Hard,Drop
4.07,10.09,0.77,3.89,Mid,Medium,Clear
8.97,5.85,6.62,8.69,Early,Hard,Clear
2.72,1.41,2.91,5.21,Pressure,Easy,Drop
4.01,4.97,1.32,12.19,Mid,Medium,Smash
1.69,2.82,4.54,7.38,Mid,Easy,Drop
1.31,7.37,5.87,10.23,Mid,Easy,Drop
7.51,9.49,5.54,12.81,Early,Medium,Clear
3.93,2.22,3.21,6.61,Early,Easy,Drop
2.98,4.22,7.54,4.98,Early,Medium,Drop
4.96,8.15,4.62,2.18,Early,Hard,Clear
6.08,10.47,3.47,4.65,Pressure,Hard,Clear
3.39,12.25,2.31,4.4,Mid,Hard,Clear
6.75,6.59,5.68,3.51,Mid,Easy,Drop
7.57,5.03,8.89,2.98,Pressure,Easy,Drop
7.41,0.83,7.04,12.19,Early,Medium,Drop
3.12,9.09,7.87,10.37,Mid,Medium,Clear
3.23,3.63,1.89,5.75,Mid,Easy,Drop
9.42,6.44,4.11,6.78,Pressure,Medium,Clear
0.83,12.51,6.81,10.57,Pressure,Medium,Clear
1.26,10.04,6.42,4.9,Pressure,Medium,Clear
5.57,8.5,6.32,12.49,Mid,Hard,Clear
0.59,3.71,5.1,6.93,Pressure,Medium,Drop
2.49,5.14,4.67,8.93,Pressure,Medium,Clear
3.6,0.8,1.44,5.66,Early,Easy,Drop
8.97,2.26,3.31,6.15,Early,Medium,Drop
3.63,1.71,7.0,6.11,Early,Easy,Drop
7.79,1.93,8.14,8.53,Pressure,Hard,Drop
7.16,6.9,5.47,4.6,Mid,Hard,Clear
4.15,2.79,6.26,5.86,Early,Medium,Drop
8.45,6.07,4.37,0.56,Early,Easy,Drop
7.27,10.53,1.06,1.76,Pressure,Easy,Smash
3.43,6.17,2.86,11.2,Pressure,Hard,Clear
4.0,5.37,1.53,4.86,Mid,Medium,Clear
6.85,4.19,6.03,1.55,Early,Easy,Drop
2.65,1.95,3.86,2.25,Mid,Medium,Drop
1.74,5.26,2.17,8.38,Pressure,Hard,Drop
2.06,2.57,3.1,2.82,Mid,Medium,Drop
8.29,12.3,4.86,2.92,Mid,Hard,Clear
4.95,8.99,4.24,10.91,Mid,Easy,Drop
7.66,3.23,0.79,3.29,Mid,Easy,Drop
4.62,9.71,7.39,7.32,Early,Medium,Clear
5.39,12.79,5.38,9.88,Pressure,Medium,Clear
